resolved,slosh,sl-sh,ns,form,notes,
N,N,Y,type,values?,
N,N,Y,type,vec?,
N,N,Y,vector,make-vec,
N,N,Y,vector,vec,
N,N,Y,vector,vec-clear!,
N,N,Y,vector,vec-empty?,
N,N,Y,vector,vec-insert!,
N,N,Y,vector,vec-nth,
N,N,Y,vector,vec-pop!,
N,N,Y,vector,vec-push!,
N,N,Y,vector,vec-remove!,
N,N,Y,vector,vec-set!,
N,N,Y,vector,vec-slice
